title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997.0,6.6,452766.0,"AD, AE, AG, AL, AO, AR, BA, BB, BE, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GR, GT, GY, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SK, SV, TC, TD, TH, TN, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001.0,5.9,347505.0,"AE, AG, AL, AO, AR, BA, BB, BE, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, GB, GF, GG, GH, GR, GT, GY, HN, HR, HU, IE, IN, IQ, IS, JM, JO, JP, KE, KW, LB, LC, LT, LV, LY, MA, MD, MG, MK, ML, MT, MW, MX, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PG, PL, PS, PY, QA, RO, RS, SA, SE, SK, SV, TC, TD, TN, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
A Fistful of Dollars,movie,"Drama, Western",1964.0,7.9,239326.0,"AD, AU, DK, ES, FI, NO, NZ, SE"
Basic Instinct,movie,"Drama, Mystery, Thriller",1992.0,7.1,225643.0,"AD, AU, ES, IN, JP, PT, US"
"One, Two, Three",movie,Comedy,1961.0,7.8,23481.0,ES
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001.0,8.2,1007678.0,"AD, CA, ES, IN, PT, SN"
The Seventh Seal,movie,"Drama, Fantasy",1957.0,8.1,204002.0,"AT, DE, ES, JP"
Love Actually,movie,"Comedy, Drama, Romance",2003.0,7.6,543546.0,"AD, AT, AU, CA, CI, DE, ES, FR, GF, GH, JP, KE, MC, MZ, NE, NG, NZ, PF, PT, UG, US, ZA, ZM"
Scoop,movie,"Comedy, Crime, Fantasy",2006.0,6.6,88603.0,"AT, BZ, DE, ES, NI"
Rashomon,movie,"Crime, Drama, Mystery",1950.0,8.2,185971.0,ES
