title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Miss Evers' Boys",movie,"Drama, War",1997,tt0119679,7.1,1464,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
"Tom and Jerry: Robin Hood and His Merry Mouse",movie,"Action, Adventure, Animation",2012,tt2423422,6.3,1403,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
"Jurassic World",movie,"Action, Adventure, Sci-Fi",2015,tt0369610,6.9,692223,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"In the Shadow",movie,"Crime, Drama, Thriller",2012,tt1860359,7.1,1934,"CZ, SK"
Trolls,movie,"Adventure, Animation, Comedy",2016,tt1679335,6.4,94990,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Already Famous",movie,Comedy,2011,tt2323453,6.9,77,"ID, MY, PH, SG, TH"
"Sekal Has to Die",movie,Drama,1998,tt0163019,7.3,1049,"CZ, SK"
"The Lego Movie",movie,"Action, Adventure, Animation",2014,tt1490017,7.7,396441,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Edge of Tomorrow",movie,"Action, Adventure, Sci-Fi",2014,tt1631867,7.9,758816,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"Smurfs: The Lost Village",movie,"Adventure, Animation, Comedy",2017,tt2398241,6,25140,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
"Winter's Tale",movie,"Drama, Fantasy, Mystery",2014,tt1837709,6.1,57712,US
"The Education of Mohammad Hussein",movie,"Documentary, Drama, Short",2013,tt2386922,5.5,126,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Kings Point",movie,"Comedy, Documentary, Drama",2012,tt2109153,6.6,249,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Mondays at Racine",movie,"Documentary, Family, Short",2012,tt2083264,7.5,347,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Hold Up!",movie,"Comedy, Crime, Thriller",2012,tt2203951,6.3,836,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Lóve,movie,"Drama, Romance",2011,tt2165959,6.2,276,"CZ, SK"
