title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Love Actually,movie,"Comedy, Drama, Romance",2003.0,7.6,543546.0,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NL, NO, NZ, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
Notting Hill,movie,"Comedy, Drama, Romance",1999.0,7.2,354983.0,"AD, AU, BE, CH, ES, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, LU, MC, MY, NL, NZ, PF, PH, PK, SG, TH, TW"
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002.0,7.4,904937.0,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EG, ES, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LI, LU, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004.0,7.5,730712.0,"AD, AE, AL, AO, BA, BE, BG, BH, CI, CM, CV, CY, CZ, DZ, EG, ES, GH, GQ, GR, HR, HU, IQ, JO, KE, KR, KW, LB, LU, LY, MA, ME, MG, MK, ML, MT, MZ, NE, NG, OM, PL, PS, PT, QA, RO, RS, SA, SC, SI, SK, SN, TN, TR, TZ, UG, YE, ZA, ZM, ZW"
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007.0,6.3,655683.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EG, ES, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KE, KR, KW, LB, LC, LI, LU, LY, MA, ME, MG, MK, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Constantine,movie,"Action, Fantasy, Horror",2005.0,7.0,384908.0,"AD, AT, CH, DE, ES, FJ, HK, HR, ID, IN, JP, KR, LI, LU, MY, PH, PK, PT, SG, TH, TW"
The Mummy,movie,"Action, Adventure, Fantasy",1999.0,7.1,474225.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Next Door,movie,"Mystery, Thriller",2005.0,6.4,10797.0,"DE, ES, GB, IT"
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003.0,5.9,304782.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Titanic,movie,"Drama, Romance",1997.0,7.9,1316624.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
