Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt2084970,8,2021-08-24,"The Imitation Game (Descifrando Enigma)","The Imitation Game",https://www.imdb.com/title/tt2084970,Película,8.0,114,2014,"Drama, Biografía, Suspense, Bélico",841697,"2015-01-01","Morten Tyldum"
tt0790636,9,2021-08-24,"Dallas Buyers Club","Dallas Buyers Club",https://www.imdb.com/title/tt0790636,Película,7.9,117,2013,"Drama, Biografía",528099,"2014-03-14","Jean-Marc Vallée"
tt0180093,9,2021-08-24,"Réquiem por un sueño","Requiem for a Dream",https://www.imdb.com/title/tt0180093,Película,8.3,102,2000,"Drama",922666,"2001-03-23","Darren Aronofsky"
tt8228288,7,2021-08-22,"El hoyo","El hoyo",https://www.imdb.com/title/tt8228288,Película,7.0,94,2019,"Suspense, Ciencia ficción, Terror, Misterio",297874,"2019-11-08","Galder Gaztelu-Urrutia"
tt0123755,9,2021-08-22,"Cube","Cube",https://www.imdb.com/title/tt0123755,Película,7.1,90,1997,"Terror, Misterio, Ciencia ficción",252670,"1997-12-10","Vincenzo Natali"
tt3118452,6,2021-08-22,"Círculo","Circle",https://www.imdb.com/title/tt3118452,Película,6.0,87,2015,"Drama, Ciencia ficción, Suspense, Misterio, Terror",68456,"2015-10-15","Aaron Hann,Mario Miscione"
tt4332232,6,2021-08-22,"Fractura","Fractured",https://www.imdb.com/title/tt4332232,Película,6.5,99,2019,"Suspense, Drama, Misterio",99281,"2019-10-11","Brad Anderson"
tt7967412,6,2021-08-22,"Quien a hierro mata","Quien a hierro mata",https://www.imdb.com/title/tt7967412,Película,6.6,107,2019,"Drama, Suspense, Crimen",8988,"2019-08-30","Paco Plaza"
tt0363988,5,2021-08-22,"La ventana secreta","Secret Window",https://www.imdb.com/title/tt0363988,Película,6.5,96,2004,"Suspense, Misterio, Drama",213505,"2004-04-16","David Koepp"
tt1130884,9,2021-08-22,"Shutter Island","Shutter Island",https://www.imdb.com/title/tt1130884,Película,8.2,138,2010,"Suspense, Misterio, Drama",1510772,"2010-02-19","Martin Scorsese"
tt0434409,7,2021-08-22,"V de vendetta","V for Vendetta",https://www.imdb.com/title/tt0434409,Película,8.1,132,2005,"Suspense, Acción, Drama, Ciencia ficción",1200808,"2006-04-07","James McTeigue"
tt2024544,9,2021-08-22,"12 años de esclavitud","12 Years a Slave",https://www.imdb.com/title/tt2024544,Película,8.1,134,2013,"Drama, Historia, Biografía",754722,"2013-12-13","Steve McQueen"
tt1895587,9,2021-08-22,"Spotlight","Spotlight",https://www.imdb.com/title/tt1895587,Película,8.1,129,2015,"Drama, Crimen, Biografía",511610,"2016-01-29","Tom McCarthy"
tt5027774,7,2021-08-22,"Tres anuncios en las afueras","Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774,Película,8.1,115,2017,"Crimen, Drama, Comedia",570438,"2018-01-12","Martin McDonagh"
tt6966692,10,2021-08-22,"Green Book","Green Book",https://www.imdb.com/title/tt6966692,Película,8.2,130,2018,"Drama, Biografía, Comedia, Música",609399,"2019-02-01","Peter Farrelly"
tt1675434,8,2021-08-22,"Intocable","Intouchables",https://www.imdb.com/title/tt1675434,Película,8.5,112,2011,"Comedia, Drama",957134,"2012-03-09","Olivier Nakache,Éric Toledano"
tt0118799,10,2021-08-22,"La vida es bella","La vita è bella",https://www.imdb.com/title/tt0118799,Película,8.6,116,1997,"Comedia, Bélico, Romance, Drama",762977,"1999-02-26","Roberto Benigni"
tt0114814,8,2021-08-22,"Sospechosos habituales","The Usual Suspects",https://www.imdb.com/title/tt0114814,Película,8.5,106,1995,"Drama, Crimen, Misterio, Suspense",1170687,"1995-09-08","Bryan Singer"
tt0120586,8,2021-08-22,"American History X","American History X",https://www.imdb.com/title/tt0120586,Película,8.5,119,1998,"Drama, Crimen",1213380,"1999-03-19","Tony Kaye"
tt0109830,10,2021-08-22,"Forrest Gump","Forrest Gump",https://www.imdb.com/title/tt0109830,Película,8.8,142,1994,"Romance, Drama",2329060,"1994-09-23","Robert Zemeckis"
tt0111161,9,2021-08-22,"Cadena perpetua","The Shawshank Redemption",https://www.imdb.com/title/tt0111161,Película,9.3,142,1994,"Drama",2976845,"1995-02-24","Frank Darabont"
tt0137523,9,2021-08-22,"El club de la lucha","Fight Club",https://www.imdb.com/title/tt0137523,Película,8.8,139,1999,"Drama",2406049,"1999-11-05","David Fincher"
tt0114369,9,2021-08-22,"Seven","Se7en",https://www.imdb.com/title/tt0114369,Película,8.6,127,1995,"Misterio, Drama, Crimen, Suspense",1861184,"1996-01-10","David Fincher"
tt0102926,8,2021-08-22,"El silencio de los corderos","The Silence of the Lambs",https://www.imdb.com/title/tt0102926,Película,8.6,118,1991,"Crimen, Drama, Suspense",1599032,"1991-09-06","Jonathan Demme"
tt1454468,6,2021-08-22,"Gravity","Gravity",https://www.imdb.com/title/tt1454468,Película,7.7,91,2013,"Ciencia ficción, Suspense, Drama",874513,"2013-10-04","Alfonso Cuarón"
tt1663202,8,2021-08-22,"El renacido (The Revenant)","The Revenant",https://www.imdb.com/title/tt1663202,Película,8.0,156,2015,"Aventura, Drama, Del oeste, Acción",895744,"2016-02-05","Alejandro G. Iñárritu"
tt0217505,7,2021-08-22,"Gangs of New York","Gangs of New York",https://www.imdb.com/title/tt0217505,Película,7.5,167,2002,"Crimen, Drama",482011,"2003-02-28","Martin Scorsese"
tt0094226,8,2021-08-22,"Los intocables de Eliot Ness","The Untouchables",https://www.imdb.com/title/tt0094226,Película,7.8,119,1987,"Suspense, Drama, Crimen",338002,"1987-10-02","Brian De Palma"
tt0117665,7,2021-08-22,"Sleepers","Sleepers",https://www.imdb.com/title/tt0117665,Película,7.5,147,1996,"Suspense, Crimen, Drama",242233,"1996-11-28","Barry Levinson"
tt0289765,8,2021-07-11,"El dragón rojo","Red Dragon",https://www.imdb.com/title/tt0289765,Película,7.2,124,2002,"Drama, Crimen, Suspense",298328,"2002-10-25","Brett Ratner"
tt6294822,8,2020-08-16,"Los archivos del Pentágono","The Post",https://www.imdb.com/title/tt6294822,Película,7.2,116,2017,"Drama, Biografía, Historia, Suspense, Bélico",165458,"2018-01-19","Steven Spielberg"
tt0089218,8,2020-08-16,"Los Goonies","The Goonies",https://www.imdb.com/title/tt0089218,Película,7.7,114,1985,"Comedia, Familiar, Aventura",306812,"1985-07-24","Richard Donner"
tt0468569,9,2020-08-16,"El caballero oscuro","The Dark Knight",https://www.imdb.com/title/tt0468569,Película,9.0,152,2008,"Drama, Crimen, Suspense, Acción",2957709,"2008-08-13","Christopher Nolan"
tt7286456,7,2020-08-16,"Joker","Joker",https://www.imdb.com/title/tt7286456,Película,8.4,122,2019,"Crimen, Drama, Suspense",1567856,"2019-10-04","Todd Phillips"
tt1375666,9,2020-08-16,"Origen","Inception",https://www.imdb.com/title/tt1375666,Película,8.8,148,2010,"Ciencia ficción, Suspense, Acción, Aventura",2624638,"2010-08-06","Christopher Nolan"
tt0119217,8,2020-08-16,"El indomable Will Hunting","Good Will Hunting",https://www.imdb.com/title/tt0119217,Película,8.3,126,1997,"Romance, Drama",1107929,"1998-02-27","Gus Van Sant"
tt0110912,8,2020-08-16,"Pulp Fiction","Pulp Fiction",https://www.imdb.com/title/tt0110912,Película,8.9,154,1994,"Crimen, Drama",2284882,"1995-01-13","Quentin Tarantino"
tt0120382,7,2020-08-16,"El show de Truman","The Truman Show",https://www.imdb.com/title/tt0120382,Película,8.2,103,1998,"Comedia, Drama",1244130,"1998-10-30","Peter Weir"
tt0477348,7,2020-08-16,"No es país para viejos","No Country for Old Men",https://www.imdb.com/title/tt0477348,Película,8.2,122,2007,"Suspense, Crimen, Drama",1095529,"2008-02-08","Ethan Coen,Joel Coen"
tt0993846,7,2020-08-16,"El lobo de Wall Street","The Wolf of Wall Street",https://www.imdb.com/title/tt0993846,Película,8.2,180,2013,"Crimen, Drama, Biografía, Comedia",1641852,"2014-01-17","Martin Scorsese"
