Title,Release_year,Duration,Duration_in_minutes,Rating,Content_rating,No_of_votes,No_of_votes_numeric
Sunset Boulevard,1950,1h 50m,110,8.4,Approved, 244K,244000
Spider-Man: Into the Spider-Verse,2018,1h 57m,117,8.4,PG, 705K,705000
Paths of Glory,1957,1h 28m,88,8.4,Approved, 221K,221000
Witness for the Prosecution,1957,1h 56m,116,8.4,Approved, 144K,144000
The Shining,1980,2h 26m,146,8.4,R, 1.1M,1100000
The Great Dictator,1940,2h 5m,125,8.4,G, 244K,244000
Aliens,1986,2h 17m,137,8.4,R, 794K,794000
Inglourious Basterds,2009,2h 33m,153,8.4,R, 1.6M,1600000
The Dark Knight Rises,2012,2h 44m,164,8.4,PG-13, 1.9M,1900000
Coco,2017,1h 45m,105,8.4,PG, 625K,625000
Amadeus,1984,2h 40m,160,8.4,PG, 440K,440000
Toy Story,1995,1h 21m,81,8.3,G, 1.1M,1100000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,95,8.3,PG, 530K,530000
Oldboy,2003,2h,120,8.3,R, 659K,659000
Avengers: Endgame,2019,3h 1m,181,8.4,PG-13, 1.3M,1300000
American Beauty,1999,2h 2m,122,8.3,R, 1.2M,1200000
Good Will Hunting,1997,2h 6m,126,8.3,R, 1.1M,1100000
Das Boot,1981,2h 29m,149,8.4,NA, 272K,272000
Braveheart,1995,2h 58m,178,8.3,R, 1.1M,1100000
Princess Mononoke,1997,2h 13m,133,8.3,PG-13, 448K,448000
Your Name.,2016,1h 46m,106,8.4,NA, 341K,341000
High and Low,1963,2h 23m,143,8.4,Not Rated, 57K,57000
Joker,2019,2h 2m,122,8.4,R, 1.6M,1600000
3 Idiots,2009,2h 50m,170,8.4,PG-13, 448K,448000
Once Upon a Time in America,1984,3h 49m,229,8.3,R, 387K,387000
Singin' in the Rain,1952,1h 43m,103,8.3,G, 268K,268000
Capernaum,2018,2h 6m,126,8.4,R, 112K,112000
Come and See,1985,2h 22m,142,8.3,Not Rated, 106K,106000
Requiem for a Dream,2000,1h 42m,102,8.3,NC-17, 922K,922000
Toy Story 3,2010,1h 43m,103,8.3,G, 915K,915000
Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,131,8.3,PG, 1.1M,1100000
The Hunt,2012,1h 55m,115,8.3,R, 377K,377000
Eternal Sunshine of the Spotless Mind,2004,1h 48m,108,8.3,R, 1.1M,1100000
Ikiru,1952,2h 23m,143,8.3,Not Rated, 93K,93000
